name,link,price,subtitle,highlight,price-indicator,seller-info,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204144669889,£14000,2.0 TDI BlueMotion Tech GT Edition (s/s) 3dr,1 Owner~PanRoof~Full Vw SH~Nav,Good price,Pickering Cars,38000,148,Manual,Diesel,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202111049231494,£13790,1.6 TDI 110 GT Edition 5dr,CAMBELT CHANGED+SUNROOF+£20TAX,Lower price,Burghley Motors,33150,108,Manual,Diesel,,Hatchback,ULEZ,1.6L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202111119475028,£18789,2.0 TSI GTI 5dr,SATNAV | AFTERMARKET WHEELS,Good price,Prestige Cars Kent,32600,217,Manual,Petrol,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202112180638493,£12689,golf mark 7 1.4 TSI Match Edition 125PS 5Dr,2 YEAR VW WARRANTY & RECOVERY,Lower price,JCB Medway,33299,123,Manual,Petrol,2,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203113451726,£14925,1.6 TDI 110 Match Edition 5dr DSG,£20 TAX+DAB+NAV+BLUETOOTH+FMDS,Great price,Burghley Motors,22700,109,Automatic,Diesel,2,Hatchback,ULEZ,1.6L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202110148476760,£19950,1.4 TSI GTE Nav DSG (s/s) 5dr,LOW MILEAGE/GTE/HYBRID,Lower price,Mondial Cars,16000,148,Automatic,Petrol Plug-in Hybrid,2,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203243917856,£17330,1.4 TSI GTE DSG (s/s) 5dr,LOW MILEAGEAUX&USB,Lower price,Wembley Prestige Cars Ltd,39000,148,Automatic,Petrol Plug-in Hybrid,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202204084453429,£17995,1.4 TSI GTE Hatchback 5dr Petrol Plug-in Hybrid DSG (s/s)(AUTO),National Delivery Available,Great price,Anchor Cars,37895,148,Automatic,Petrol Plug-in Hybrid,3,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203173659243,£17997,R LINE EDITION TDI BMT [BIG SPEC] 2.0 5dr,SUNROOF_NAV_HTD SEATS_F+R PDC,Good price,GT Heritage Ltd,34849,148,Automatic,Diesel,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203304129550,£16400,2.0 GTD 3d 182 BHP,SAT NAV | BLUETOOTH | DAB |,Great price,Carworld Car Supermarket,32605,181,Manual,Diesel,,Hatchback,ULEZ,2.0L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203043201674,£16949,1.4 MATCH EDITION TSI DSG BMT 5d 124 BHP,HEATED SEATS,Good price,Reverie Autos Limited,3100,123,Automatic,Petrol,,Hatchback,ULEZ,1.4L,2016
Volkswagen Golf,https://www.autotrader.co.uk/car-details/202203243898285,£16995,2.0 TDI BlueMotion Tech GTD (s/s) 5dr,"""EURO 6"" NAV DAB KEYLESS £30 +",Great price,Elite Moto Co,30488,181,Manual,Diesel,2,Estate,ULEZ,2.0L,2016
